Statistical profiling result from con_console.log.log, (9343 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^inTransaction /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sessions.js:225:18
      1    0.0%    0.0%  Function: ^hasObserver node:internal/perf/observe:441:21
      1    0.0%    0.0%  Function: ^hasAspect /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/operations/operation.js:41:14
      1    0.0%    0.0%  Function: ^getTimerDuration node:internal/timers:383:26
      1    0.0%    0.0%  Function: ^getHeader node:_http_outgoing:590:57
      1    0.0%    0.0%  Function: ^getColorDepth node:internal/tty:106:23
      1    0.0%    0.0%  Function: ^get node:_http_incoming:108:16
      1    0.0%    0.0%  Function: ^fromStringFast node:buffer:413:24
      1    0.0%    0.0%  Function: ^fromString /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/utils.js:314:22
      1    0.0%    0.0%  Function: ^executeOperation /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/operations/execute_operation.js:11:26
      1    0.0%    0.0%  Function: ^end /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express-session/index.js:250:27
      1    0.0%    0.0%  Function: ^digest node:internal/crypto/hash:146:40
      1    0.0%    0.0%  Function: ^createWriteWrap node:internal/stream_base_commons:109:25
      1    0.0%    0.0%  Function: ^createHash node:crypto:129:20
      1    0.0%    0.0%  Function: ^connectionIsStale /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection_pool.js:329:22
      1    0.0%    0.0%  Function: ^configure /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/safe-stable-stringify/index.js:213:20
      1    0.0%    0.0%  Function: ^compileFunction node:vm:308:25
      1    0.0%    0.0%  Function: ^command /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection.js:251:12
      1    0.0%    0.0%  Function: ^clearTimeout node:timers:184:22
      1    0.0%    0.0%  Function: ^clearIncoming node:_http_server:754:23
      1    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.0%  Function: ^callback node:internal/streams/writable:550:44
      1    0.0%    0.0%  Function: ^alloc node:buffer:360:30
      1    0.0%    0.0%  Function: ^alignPool node:buffer:159:19
      1    0.0%    0.0%  Function: ^addChunk node:internal/streams/readable:304:18
      1    0.0%    0.0%  Function: ^_writeRaw node:_http_outgoing:344:19
      1    0.0%    0.0%  Function: ^_write /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/message_stream.js:31:11
      1    0.0%    0.0%  Function: ^UpdateOneOperation /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/operations/update.js:56:16
      1    0.0%    0.0%  Function: ^Timeout node:internal/timers:167:17
      1    0.0%    0.0%  Function: ^Socket.read node:net:661:33
      1    0.0%    0.0%  Function: ^ServerDescription /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/server_description.js:35:16
      1    0.0%    0.0%  Function: ^Readable.push /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:222:36
      1    0.0%    0.0%  Function: ^Readable node:internal/streams/readable:181:18
      1    0.0%    0.0%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    0.0%    0.0%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    0.0%    0.0%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    0.0%    0.0%  Function: ^Long.eq /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/long.js:436:34
      1    0.0%    0.0%  Function: ^Long /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/long.js:59:18
      1    0.0%    0.0%  Function: ^EventEmitter.init node:events:327:29
      1    0.0%    0.0%  Function: ^BinMsg /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/commands.js:394:16
      1    0.0%    0.0%  Function: ^AbstractCursor /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cursor/abstract_cursor.js:53:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/validators:236:42
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:681:42
      1    0.0%    0.0%  Function: ^<anonymous> node:buffer:349:36
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sessions.js:134:43
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/server.js:197:42
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection_pool.js:381:38
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/router/index.js:280:64
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/express/lib/request.js:467:36
      1    0.0%    0.0%  Function: ^<anonymous> /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/connect-mongo/build/main/lib/MongoStore.js:203:10

 [C++]:
   ticks  total  nonlib   name
